"УИК №115"	"УИК №116"	"УИК №117"	"УИК №118"	"УИК №119"	"УИК №120"	"УИК №121"	"УИК №122"	"УИК №123"	"УИК №124"	"УИК №125"	"УИК №126"	"УИК №127"	"УИК №128"	"УИК №129"	"УИК №130"	"УИК №131"	"УИК №132"	"УИК №133"	"УИК №134"	"УИК №135"	"УИК №136"	"УИК №137"	"УИК №138"	"УИК №139"	"УИК №140"	"УИК №141"	"УИК №142"	"УИК №143"	"УИК №144"	"УИК №145"	"УИК №146"	"УИК №147"	"УИК №148"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

2	6	9	11	7	4	3	9	13	7	8	8	18	7	12	5	7	5	7	2	16	8	11	14	5	6	11	12	7	3	6	6	2	4	9	4	10	9	2	9	6	5	3	11	6	8	13	11	11	3	0	5	10	7	11	5	6	5	6	0	5	6	7	2	1	2	1	6	3	0	3	2	
58	163	209	194	216	172	214	179	276	251	291	282	176	136	200	151	172	173	174	147	162	151	165	305	323	189	289	247	122	166	134	164	153	169	151	192	317	200	269	250	147	164	128	195	176	124	212	239	231	38	63	162	148	195	235	103	112	340	276	26	198	196	123	88	44	104	9	200	177	66	57	26	
14	66	78	69	54	51	83	49	65	96	80	58	45	21	75	52	57	67	86	31	40	53	36	69	64	35	64	57	42	39	31	31	37	48	58	76	65	73	46	66	63	26	23	48	77	48	91	115	64	14	12	74	57	82	77	36	73	46	46	11	105	101	67	39	12	38	12	58	65	22	25	10	
339	924	1056	949	858	724	858	797	1124	1002	1226	906	790	624	926	829	777	908	1206	751	743	845	723	1314	1312	708	1141	820	601	543	663	646	535	591	772	1081	1471	866	1092	1018	722	731	453	654	878	583	1204	1031	951	534	229	811	1147	1014	1151	494	691	1985	1018	368	1173	1090	790	497	427	607	200	1620	883	330	329	179	
2	14	18	15	12	20	16	11	18	22	19	22	19	5	12	14	12	13	16	13	15	12	13	20	23	15	36	28	5	10	11	13	12	13	14	15	31	17	17	9	9	18	12	17	11	9	19	27	18	6	9	6	3	11	19	10	33	22	14	5	7	6	2	4	1	3	0	12	6	8	5	1	
3	11	8	10	13	8	10	6	18	10	11	10	15	9	11	14	16	8	11	4	2	3	5	9	7	7	6	11	6	7	9	7	5	5	12	13	7	7	11	6	12	12	2	6	12	9	21	9	11	1	0	10	7	9	9	11	2	7	9	2	4	5	4	4	6	8	1	5	9	2	3	1	
6	8	5	9	12	6	7	5	15	16	19	14	5	6	9	6	13	10	5	7	5	16	8	16	12	6	18	5	1	5	5	5	6	7	7	5	12	10	9	7	10	5	5	12	10	5	14	15	15	3	7	9	5	3	10	7	5	4	10	1	5	8	5	2	4	6	0	9	8	1	4	4	
3	8	10	17	16	6	7	6	10	10	11	15	13	7	19	4	11	4	12	14	9	10	12	16	29	8	19	27	10	6	14	27	9	10	8	6	26	14	12	8	10	12	8	12	13	11	18	17	11	2	3	14	6	15	12	7	4	15	5	0	1	2	4	7	0	2	0	5	2	0	0	1	
