"УИК №312"	"УИК №313"	"УИК №314"	"УИК №315"	"УИК №316"	"УИК №317"	"УИК №318"	"УИК №319"	"УИК №320"	"УИК №321"	"УИК №322"	"УИК №323"	"УИК №324"	"УИК №325"	"УИК №326"	"УИК №327"	"УИК №328"	"УИК №329"	"УИК №330"	"УИК №331"	"УИК №332"	"УИК №333"	"УИК №334"	"УИК №335"	"УИК №336"	"УИК №337"	"УИК №338"	"УИК №339"	"УИК №340"	"УИК №341"	"УИК №342"	"УИК №343"	"УИК №344"	"УИК №345"	"УИК №346"	"УИК №347"	"УИК №348"	"УИК №349"	"УИК №350"	"УИК №351"	"УИК №352"	"УИК №353"	"УИК №354"	"УИК №355"	"УИК №356"	"УИК №357"	"УИК №358"	"УИК №359"	"УИК №360"	"УИК №361"	"УИК №362"	"УИК №363"	"УИК №364"	"УИК №365"	"УИК №366"	"УИК №367"	"УИК №368"	"УИК №369"	"УИК №370"	"УИК №371"	"УИК №372"	"УИК №373"	"УИК №374"	"УИК №375"	"УИК №376"	"УИК №377"	"УИК №378"	"УИК №379"	"УИК №380"	"УИК №381"	"УИК №382"	"УИК №383"	"УИК №384"	"УИК №385"	"УИК №386"	"УИК №387"	"УИК №388"	"УИК №389"	"УИК №390"	"УИК №391"	"УИК №392"	"УИК №393"	"УИК №394"	"УИК №395"	"УИК №396"	"УИК №397"	"УИК №398"	"УИК №399"	"УИК №400"	"УИК №401"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	6	5	6	6	9	3	0	2	5	4	5	7	8	5	0	2	0	3	10	5	4	4	5	9	4	3	5	3	8	6	4	3	3	0	4	5	0	1	3	3	4	2	7	4	4	3	5	4	5	3	3	3	0	5	3	3	5	11	0	0	4	2	0	2	3	1	2	5	6	3	4	7	1	3	10	5	0	2	3	4	0	5	8	13	1	1	0	1	
58	76	52	59	66	78	69	85	62	76	62	18	56	58	73	78	54	58	77	60	71	81	57	92	102	70	76	37	67	47	69	110	76	52	100	77	83	100	0	17	50	38	49	44	72	46	61	48	79	49	166	61	91	32	102	47	98	59	68	58	37	19	55	55	59	72	78	52	84	28	20	36	64	50	18	21	75	102	10	52	52	55	10	33	118	95	57	13	11	18	
65	58	48	48	53	69	64	73	46	45	41	23	53	56	66	54	45	42	75	56	82	69	59	67	49	36	46	35	58	43	25	41	51	35	72	60	57	58	2	28	43	39	56	46	53	33	57	35	36	45	66	40	81	29	37	56	46	15	67	47	26	11	50	49	51	55	75	40	45	32	27	53	53	44	32	27	57	86	7	41	27	31	12	15	63	78	51	18	5	29	
724	863	856	632	765	704	652	746	1028	905	645	480	1017	789	737	839	541	550	668	751	660	813	585	700	681	544	539	399	611	624	788	926	805	664	940	832	616	815	268	265	846	679	460	411	913	887	609	644	571	764	1036	496	1217	464	538	813	676	648	629	759	434	176	565	567	527	745	972	647	704	648	336	604	472	708	262	285	1205	939	205	482	496	378	189	363	829	914	874	379	319	373	
17	12	14	13	12	11	4	13	6	13	14	8	16	8	11	9	5	4	14	9	12	16	20	15	3	12	11	4	9	5	10	14	9	6	13	10	10	11	0	6	10	9	8	5	11	8	11	11	14	10	3	10	19	7	5	1	10	5	3	6	4	2	8	9	8	5	9	8	4	2	1	8	6	10	1	2	9	18	3	1	8	7	0	4	5	6	4	2	2	2	
6	3	4	9	2	1	4	3	4	3	7	1	0	0	6	4	5	7	4	5	2	0	6	11	2	2	2	4	2	2	6	3	3	3	5	4	3	11	0	3	3	3	5	3	7	7	2	7	5	9	12	0	8	2	5	9	4	3	7	2	4	0	7	6	1	6	7	0	6	2	0	6	5	5	2	0	7	4	2	0	2	4	2	4	6	14	2	2	1	1	
7	7	4	5	2	5	6	9	7	6	4	2	6	1	5	3	3	3	6	5	3	8	6	10	5	8	4	0	4	2	5	11	7	2	4	4	9	9	0	1	2	4	5	4	4	8	4	0	4	7	4	5	5	3	7	3	8	4	6	2	2	0	4	1	2	1	4	3	6	2	1	2	3	1	0	4	4	5	1	1	2	2	0	0	0	12	4	0	0	0	
6	9	6	4	7	4	4	9	7	3	4	0	3	6	6	2	6	6	6	1	8	12	7	7	7	11	6	2	5	2	3	5	5	2	9	5	4	6	1	1	7	6	5	3	1	3	8	4	2	4	11	0	11	0	7	5	5	2	1	4	0	2	4	4	7	4	4	4	2	0	0	0	1	6	0	0	6	12	2	2	3	2	0	2	1	3	1	0	0	0	
