"УИК №685"	"УИК №686"	"УИК №687"	"УИК №688"	"УИК №689"	"УИК №690"	"УИК №691"	"УИК №692"	"УИК №693"	"УИК №694"	"УИК №695"	"УИК №696"	"УИК №697"	"УИК №698"	"УИК №699"	"УИК №700"	"УИК №701"	"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	2	1	5	6	4	6	0	3	3	7	2	12	5	0	4	7	6	11	14	3	9	2	8	6	9	3	3	2	4	10	5	0	3	5	3	6	1	1	5	4	3	12	2	8	4	0	4	8	3	5	8	6	7	4	6	13	2	4	0	2	0	1	
132	118	88	153	188	132	143	103	258	184	131	135	265	244	14	108	220	252	279	281	206	269	171	189	140	253	152	152	200	119	170	139	142	85	197	144	173	77	200	295	81	90	216	169	213	228	143	194	184	109	163	155	152	228	182	144	231	98	220	107	30	29	23	
58	62	67	41	90	39	45	55	84	50	42	51	111	87	13	37	54	71	72	85	58	78	60	81	63	88	55	59	77	80	82	67	47	39	74	80	85	42	69	67	27	45	114	62	86	51	79	102	74	53	79	64	61	83	75	60	109	35	90	16	10	10	5	
544	637	500	449	866	642	451	622	917	877	499	525	1125	1002	96	424	784	1065	1101	1149	830	1089	716	929	661	1058	561	612	883	679	758	687	591	380	934	761	664	346	741	982	324	294	982	679	1030	766	799	972	828	509	738	811	833	1003	857	673	1070	525	1143	324	128	163	128	
12	17	12	21	24	22	11	17	31	32	14	10	41	33	1	26	32	45	65	45	38	48	25	22	24	38	16	27	23	21	26	25	24	12	27	28	15	10	38	50	5	10	15	12	20	23	22	24	21	14	28	13	17	23	19	16	22	13	34	18	5	3	1	
7	7	5	3	5	7	7	4	9	9	5	1	12	9	2	2	4	7	13	9	4	10	5	4	8	10	6	5	9	8	8	10	6	6	7	7	5	2	2	9	1	1	7	4	12	7	9	6	8	2	9	10	10	11	9	7	9	5	5	3	2	4	1	
3	3	2	7	8	7	1	7	8	3	5	6	11	11	0	2	8	4	9	16	9	7	3	6	5	6	9	5	9	9	7	4	4	4	6	5	6	0	5	9	0	2	9	2	9	9	7	5	9	2	8	2	8	6	10	8	8	3	5	1	1	1	1	
4	1	5	15	21	12	6	6	23	19	2	10	22	17	1	13	11	20	39	25	27	23	20	16	14	27	11	3	7	13	15	10	5	6	12	9	12	4	15	18	2	3	16	7	10	17	7	17	17	3	15	13	19	8	14	11	10	8	23	6	0	0	0	
