"УИК №477"	"УИК №478"	"УИК №479"	"УИК №480"	"УИК №481"	"УИК №482"	"УИК №483"	"УИК №484"	"УИК №485"	"УИК №486"	"УИК №487"	"УИК №488"	"УИК №489"	"УИК №490"	"УИК №491"	"УИК №492"	"УИК №493"	"УИК №494"	"УИК №495"	"УИК №496"	"УИК №497"	"УИК №498"	"УИК №499"	"УИК №500"	"УИК №501"	"УИК №502"	"УИК №503"	"УИК №504"	"УИК №505"	"УИК №506"	"УИК №507"	"УИК №508"	"УИК №509"	"УИК №510"	"УИК №511"	"УИК №512"	"УИК №513"	"УИК №514"	"УИК №515"	"УИК №516"	"УИК №517"	"УИК №518"	"УИК №519"	"УИК №520"	"УИК №521"	"УИК №522"	"УИК №523"	"УИК №524"	"УИК №525"	"УИК №526"	"УИК №527"	"УИК №528"	"УИК №529"	"УИК №530"	"УИК №531"	"УИК №532"	"УИК №533"	"УИК №534"	"УИК №535"	"УИК №536"	"УИК №537"	"УИК №538"	"УИК №539"	"УИК №540"	"УИК №541"	"УИК №542"	"УИК №543"	"УИК №544"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

0	6	4	4	3	0	2	0	1	0	1	2	6	5	2	5	4	1	1	0	0	3	5	7	2	2	1	1	5	4	5	5	1	1	1	4	2	2	2	8	6	1	2	2	3	0	1	1	1	2	6	4	3	3	4	3	3	2	6	0	2	3	0	0	0	2	1	1	
16	82	35	49	38	10	38	6	5	3	30	47	31	63	43	49	46	60	21	42	29	34	38	48	26	44	25	27	38	23	49	41	48	28	26	42	27	30	44	18	43	30	19	3	17	4	30	12	27	24	20	21	38	63	26	22	46	36	43	9	37	22	14	7	5	38	9	5	
14	37	33	46	29	11	23	4	12	5	33	51	31	25	36	30	42	34	22	40	25	34	35	34	29	19	51	38	30	33	36	45	44	32	35	42	33	36	35	28	44	16	21	0	10	4	28	25	25	28	18	19	33	35	14	26	27	28	43	6	32	14	8	5	7	27	6	5	
472	1525	1160	1113	1028	273	1042	198	280	320	1209	1085	871	1015	1056	1136	1161	1408	1057	1349	1001	1187	1311	1201	1139	1137	1382	1290	1074	1084	1278	1332	1323	1265	1270	1357	1163	1290	1359	878	1271	784	602	141	425	99	860	787	771	963	1027	866	1402	1377	736	824	1070	850	1231	294	458	403	265	204	162	851	214	287	
8	35	29	38	21	3	19	6	15	17	24	28	18	23	24	26	13	30	14	25	17	21	24	21	16	24	21	30	18	16	29	27	17	16	12	28	18	17	15	14	20	15	13	6	6	2	18	13	8	15	9	11	22	16	16	14	24	19	42	9	25	15	10	6	1	36	2	6	
4	6	4	1	8	0	6	1	1	2	3	14	4	1	9	1	4	12	6	4	8	10	3	8	2	2	4	5	2	4	3	2	7	4	3	3	5	5	5	6	5	0	1	0	1	1	6	0	2	2	6	2	1	5	4	1	1	4	3	0	2	1	1	1	0	3	2	0	
0	9	4	7	9	0	2	0	1	0	3	5	8	6	5	9	4	7	7	2	5	6	5	6	2	4	7	4	8	7	5	6	3	1	3	2	8	4	4	5	7	0	3	0	2	2	6	4	3	2	4	0	4	8	3	3	5	5	7	1	4	5	1	2	0	5	1	1	
0	16	8	3	3	0	8	0	0	2	6	7	9	6	10	13	6	10	4	8	8	6	7	1	2	4	9	3	6	9	12	9	5	4	4	13	6	9	6	4	9	4	4	1	6	0	10	2	5	4	5	5	10	11	1	8	3	6	4	2	3	3	4	0	0	1	1	4	
