"УИК №2164"	"УИК №2165"	"УИК №2166"	"УИК №2167"	"УИК №2168"	"УИК №2169"	"УИК №2170"	"УИК №2171"	"УИК №2172"	"УИК №2173"	"УИК №2174"	"УИК №2175"	"УИК №2176"	"УИК №2177"	"УИК №2178"	"УИК №2179"	"УИК №2180"	"УИК №2181"	"УИК №2182"	"УИК №2183"	"УИК №2184"	"УИК №2185"	"УИК №2186"	"УИК №2187"	"УИК №2188"	"УИК №2189"	"УИК №2190"	"УИК №2191"	"УИК №2192"	"УИК №2193"	"УИК №2194"	"УИК №2201"	"УИК №2202"	"УИК №2203"	"УИК №2204"	"УИК №2205"	"УИК №2206"	"УИК №2207"	"УИК №2208"	"УИК №2209"	"УИК №2210"	"УИК №2211"	"УИК №2216"	"УИК №2217"	"УИК №2218"	"УИК №2219"	"УИК №2220"	"УИК №2221"	"УИК №2222"	"УИК №2223"	"УИК №2224"	"УИК №2225"	"УИК №2226"	"УИК №2227"	"УИК №2228"	"УИК №2229"	"УИК №2230"	"УИК №2231"	"УИК №2233"	"УИК №2234"	"УИК №2235"	"УИК №2236"	"УИК №2237"	"УИК №2238"	"УИК №2239"	"УИК №2240"	"УИК №2241"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

5	5	8	7	7	9	2	9	9	3	2	0	15	10	4	10	6	3	8	8	3	5	13	9	12	4	0	0	2	4	0	4	6	2	2	8	3	13	9	2	9	3	6	3	2	0	2	2	0	0	0	2	0	3	0	2	0	8	6	1	1	1	0	1	3	0	5	
100	101	103	127	114	114	57	142	165	62	94	61	37	101	168	144	142	121	137	148	79	64	176	154	167	86	14	18	73	59	15	33	19	21	60	81	78	136	135	156	123	67	120	119	41	19	9	18	8	19	34	17	24	31	10	29	18	102	84	27	27	37	51	29	29	57	19	
95	67	70	85	68	68	29	65	75	39	41	29	64	98	82	67	82	74	81	72	6	56	94	75	83	61	19	10	34	26	8	10	15	18	22	27	44	81	84	83	63	27	56	56	30	22	12	15	7	5	13	19	15	17	6	14	9	59	52	20	9	29	23	24	23	24	19	
855	854	811	910	734	844	430	874	939	412	467	400	369	819	915	879	1054	934	907	804	520	593	1088	1004	1128	561	161	102	466	339	91	190	208	196	258	426	426	1011	1005	764	777	343	730	764	217	137	154	211	112	67	220	141	153	236	89	255	169	663	744	209	184	262	358	272	215	300	207	
17	8	15	20	12	17	4	14	33	8	5	6	7	15	18	12	19	14	18	21	9	8	24	12	20	5	3	0	4	2	0	5	6	4	4	8	5	13	19	10	15	8	13	18	2	2	1	0	0	0	2	1	1	1	3	1	0	6	11	2	2	3	7	3	1	2	4	
9	6	5	7	9	7	1	7	9	4	1	0	2	8	8	8	8	9	10	5	1	5	11	7	7	2	0	0	5	3	1	2	0	4	5	4	4	6	6	3	12	5	3	3	1	3	1	2	0	1	0	1	1	2	0	1	0	4	1	1	1	3	2	2	1	3	3	
6	7	3	11	6	9	1	7	7	4	6	2	4	9	4	7	9	7	5	1	2	4	9	3	9	1	0	0	5	4	0	3	0	2	6	4	3	5	10	4	7	5	3	10	3	0	0	0	0	0	2	2	0	2	0	1	0	3	6	2	4	1	2	2	0	2	2	
7	11	7	14	4	13	2	6	15	4	12	1	5	12	14	8	8	8	7	10	4	10	16	8	19	3	2	0	2	5	0	0	1	3	4	1	5	8	6	5	6	6	3	2	1	0	2	0	0	0	0	1	0	1	1	4	0	2	5	0	0	3	2	2	0	1	1	
