"УИК №702"	"УИК №703"	"УИК №704"	"УИК №705"	"УИК №706"	"УИК №707"	"УИК №708"	"УИК №709"	"УИК №710"	"УИК №711"	"УИК №712"	"УИК №713"	"УИК №714"	"УИК №715"	"УИК №716"	"УИК №717"	"УИК №718"	"УИК №719"	"УИК №720"	"УИК №721"	"УИК №722"	"УИК №723"	"УИК №724"	"УИК №725"	"УИК №726"	"УИК №727"	"УИК №728"	"УИК №729"	"УИК №730"	"УИК №731"	"УИК №732"	"УИК №733"	"УИК №734"	"УИК №735"	"УИК №736"	"УИК №737"	"УИК №738"	"УИК №739"	"УИК №740"	"УИК №741"	"УИК №742"	"УИК №743"	"УИК №744"	"УИК №745"	"УИК №746"	"УИК №747"	"УИК №748"	"УИК №749"	"УИК №750"	"УИК №751"	"УИК №752"	"УИК №753"	"УИК №754"	"УИК №755"	"УИК №756"	"УИК №757"	"УИК №758"	"УИК №759"	"УИК №760"	"УИК №761"	"УИК №762"	"УИК №763"	"УИК №764"	"УИК №765"	"УИК №766"	"УИК №767"	"УИК №768"	"УИК №769"	"УИК №770"	"УИК №771"	"УИК №772"	"УИК №773"	"УИК №774"	"УИК №775"	"УИК №776"	"УИК №777"	"УИК №1887"	"УИК №1888"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

8	8	2	10	0	7	4	4	1	8	1	0	7	6	1	3	2	3	6	6	6	15	1	3	1	4	3	8	5	4	2	9	4	1	4	7	0	3	5	6	3	0	1	3	1	0	1	0	0	1	9	0	1	1	9	1	1	0	0	1	1	2	0	0	0	7	1	0	2	2	3	0	0	0	0	0	0	4	
168	56	72	114	39	51	96	67	27	46	58	57	46	63	28	19	15	29	91	150	87	123	29	157	18	76	105	177	119	167	79	83	38	21	54	61	4	64	140	97	78	7	7	40	17	3	56	10	10	4	17	7	11	103	129	108	46	12	4	52	15	57	13	6	17	34	6	8	15	11	6	9	4	3	15	8	0	19	
90	49	48	85	24	51	59	36	17	27	23	27	41	46	18	14	9	12	52	65	33	42	17	60	22	8	32	96	50	69	54	46	33	12	28	58	12	31	151	104	17	9	4	24	23	6	41	5	5	4	31	8	8	75	83	57	15	10	3	20	13	19	12	1	15	40	5	3	14	9	8	5	2	4	20	7	6	37	
798	495	464	987	201	704	504	1109	316	515	469	494	1393	488	315	163	88	421	932	1237	708	958	226	1499	431	877	540	1182	602	881	697	467	997	710	450	1421	108	179	1047	1271	450	349	110	539	461	83	336	88	85	87	478	236	166	578	915	663	255	260	151	721	240	449	157	91	141	1369	178	240	491	266	123	241	101	77	237	237	130	448	
11	10	5	20	3	9	5	2	2	4	4	2	11	12	0	5	1	4	5	14	2	15	4	6	3	15	13	15	11	25	6	9	4	1	6	4	1	4	47	15	3	1	0	3	2	0	0	0	1	1	3	1	1	9	16	6	0	0	0	4	2	1	2	1	1	4	0	1	4	1	0	0	0	0	0	1	1	3	
10	13	3	20	2	5	4	2	1	5	0	0	8	10	3	0	1	7	4	8	7	3	4	3	1	8	9	11	3	9	5	4	5	6	3	7	0	0	6	5	2	1	1	2	2	1	4	0	1	0	8	1	4	5	11	6	4	0	0	2	0	2	2	1	2	8	2	0	2	0	0	1	0	0	0	1	0	7	
6	3	1	3	1	3	2	7	1	4	2	5	14	1	1	1	0	4	3	8	4	5	1	3	1	8	3	7	5	4	2	1	4	0	1	4	0	0	6	11	2	0	0	1	1	0	2	0	0	1	11	0	0	7	13	6	1	0	0	4	1	0	0	1	0	2	1	0	1	0	0	1	0	0	0	0	0	0	
6	2	0	4	3	4	8	4	3	0	0	4	17	1	1	0	0	4	4	8	6	7	1	5	3	14	2	4	1	2	4	2	6	1	2	0	0	2	8	11	2	0	0	0	1	1	3	0	2	1	11	0	0	3	5	2	1	0	0	0	1	0	0	0	0	3	1	0	3	1	0	1	0	0	0	0	0	3	
