"УИК №145"	"УИК №146"	"УИК №147"	"УИК №149"	"УИК №150"	"УИК №151"	"УИК №152"	"УИК №153"	"УИК №154"	"УИК №155"	"УИК №156"	"УИК №157"	"УИК №158"	"УИК №159"	"УИК №160"	"УИК №161"	"УИК №162"	"УИК №163"	"УИК №164"	"УИК №165"	"УИК №166"	"УИК №167"	"УИК №168"	"УИК №169"	"УИК №170"	"УИК №171"	"УИК №172"	"УИК №173"	"УИК №174"	"УИК №175"	"УИК №176"	"УИК №177"	"УИК №178"	"УИК №179"	"УИК №180"	"УИК №181"	"УИК №182"	"УИК №183"	"УИК №184"	"УИК №185"	"УИК №186"	"УИК №187"	"УИК №188"	"УИК №189"	"УИК №190"	"УИК №191"	"УИК №192"	"УИК №193"	"УИК №194"	"УИК №195"	"УИК №196"	"УИК №197"	"УИК №198"	"УИК №199"	"УИК №200"	"УИК №201"	"УИК №202"	"УИК №203"	"УИК №204"	"УИК №205"	"УИК №206"	"УИК №207"	"УИК №208"	"УИК №209"	"УИК №210"	"УИК №211"	"УИК №212"	"УИК №213"	"УИК №214"	"УИК №215"	"УИК №216"	"УИК №217"	"УИК №218"	"УИК №219"	"УИК №220"	"УИК №221"	"УИК №222"	"УИК №223"	"УИК №224"	"УИК №225"	"УИК №226"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	2	2	12	16	11	8	11	11	10	13	15	4	21	14	15	19	27	13	22	20	15	9	8	10	7	16	8	17	12	17	8	6	9	12	11	13	9	15	6	8	7	18	8	9	11	5	7	11	7	14	6	5	6	15	12	4	5	5	4	3	5	3	2	2	4	3	8	8	12	5	10	8	5	8	4	6	3	3	0	5	
86	45	87	190	173	103	141	150	94	87	225	164	86	114	131	129	233	219	190	201	226	196	163	190	124	117	191	164	162	127	148	86	138	53	171	68	128	103	125	92	129	150	189	152	193	153	88	136	144	110	137	171	97	115	136	162	118	191	106	161	57	80	89	118	50	52	57	80	107	116	84	103	77	78	43	33	77	59	50	15	37	
43	22	53	73	74	43	49	67	54	36	72	72	46	46	57	44	89	82	61	72	64	79	81	113	62	48	114	92	83	83	93	53	80	34	78	47	72	55	60	55	71	95	80	53	77	75	53	37	56	54	83	74	63	66	42	81	74	110	65	76	33	68	61	70	36	60	46	59	65	69	73	63	53	64	39	21	57	33	40	11	39	
415	374	453	1020	1055	762	735	853	724	642	1390	1102	494	851	868	892	1185	1094	1132	1258	1273	1071	919	1219	543	758	1085	983	1024	845	1003	533	776	393	988	610	957	844	884	596	809	940	1252	691	934	1026	660	754	905	563	883	885	519	625	802	1093	601	1181	607	956	420	704	597	771	529	487	458	725	727	800	578	625	574	657	507	299	550	474	521	237	345	
7	6	3	27	28	24	28	19	19	16	47	32	12	20	21	13	28	25	42	25	32	25	19	23	8	7	23	18	25	16	17	21	20	9	22	20	19	14	15	11	12	18	25	25	24	19	9	15	16	17	22	17	11	11	13	17	7	16	11	14	0	10	11	6	3	3	3	12	4	8	6	8	8	4	6	7	4	1	3	2	4	
2	2	6	11	12	8	5	7	5	6	21	9	4	10	11	7	16	10	12	15	18	13	11	9	10	9	17	7	13	10	8	8	14	1	15	11	16	8	9	5	6	6	10	8	14	11	9	6	9	10	8	7	6	7	11	16	8	8	6	11	4	6	7	6	0	4	6	7	6	10	8	8	6	6	8	0	4	3	1	3	2	
4	4	7	25	32	12	12	21	10	19	28	17	7	15	11	18	31	20	18	32	32	27	9	10	4	4	13	10	17	14	13	10	9	7	22	9	8	12	13	11	13	13	20	15	16	26	16	16	15	17	22	13	10	14	18	22	9	12	12	17	7	6	9	4	3	5	1	7	6	10	6	7	5	8	9	4	2	2	3	1	6	
1	3	4	16	18	13	7	12	9	8	26	22	7	14	11	4	29	16	23	15	27	18	5	14	10	5	13	9	17	16	16	5	16	3	18	14	19	6	14	8	10	17	10	10	20	23	11	13	13	8	15	19	8	8	10	14	5	11	2	15	5	2	4	4	6	5	1	3	2	4	4	5	4	3	3	4	4	0	1	1	2	
