"УИК №2001"	"УИК №2002"	"УИК №2003"	"УИК №2004"	"УИК №2005"	"УИК №2006"	"УИК №2007"	"УИК №2008"	"УИК №2009"	"УИК №2010"	"УИК №2011"	"УИК №2012"	"УИК №2013"	"УИК №2014"	"УИК №2015"	"УИК №2016"	"УИК №2017"	"УИК №2018"	"УИК №2019"	"УИК №2020"	"УИК №2021"	"УИК №2022"	"УИК №2023"	"УИК №2024"	"УИК №2025"	"УИК №2026"	"УИК №2027"	"УИК №2028"	"УИК №2029"	"УИК №2030"	"УИК №2031"	"УИК №2032"	"УИК №2033"	"УИК №2034"	"УИК №2035"	"УИК №2036"	"УИК №2037"	"УИК №2038"	"УИК №2039"	"УИК №2040"	"УИК №2041"	"УИК №2042"	"УИК №2043"	"УИК №2044"	"УИК №2045"	"УИК №2046"	"УИК №2047"	"УИК №2048"	"УИК №2049"	"УИК №2050"	"УИК №2051"	"УИК №2052"	"УИК №2053"	"УИК №2054"	"УИК №2055"	"УИК №2056"	"УИК №2057"	"УИК №2058"	"УИК №2059"	"УИК №2060"	"УИК №2061"	"УИК №2062"	"УИК №2063"	"УИК №2064"	"УИК №2065"	"УИК №2066"	"УИК №2067"	"УИК №2068"	"УИК №2069"	"УИК №2070"	"УИК №2071"	"УИК №2072"	"УИК №2073"	"УИК №2074"	"УИК №2075"	"УИК №2076"	"УИК №2077"	"УИК №2078"	"УИК №2079"	"УИК №2080"	"УИК №2081"	"УИК №2082"	"УИК №2083"	"УИК №2084"	"УИК №2085"	"УИК №2086"	"УИК №2087"	"УИК №2088"	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

4	10	9	5	4	2	5	15	10	3	3	13	2	4	5	3	3	3	1	6	3	5	10	4	7	2	2	12	5	0	4	6	3	3	6	2	3	1	2	0	2	3	1	0	3	4	1	4	5	0	2	2	1	5	4	4	2	5	10	2	1	3	1	2	2	6	9	4	2	8	2	0	0	0	5	1	1	4	1	2	5	2	3	3	0	1	1	1	
17	99	83	135	62	20	113	30	73	60	102	101	62	36	60	80	101	93	16	102	94	104	124	56	105	76	79	89	64	49	159	198	65	67	61	56	73	43	43	7	37	28	20	13	68	48	10	73	98	42	80	60	83	65	68	52	25	22	72	34	80	43	40	98	50	74	32	38	57	54	39	6	0	20	20	9	49	43	40	23	42	53	30	64	26	5	3	14	
10	81	62	76	21	9	41	58	34	46	58	58	32	22	72	31	72	52	4	42	33	43	62	35	72	29	33	50	57	32	82	69	47	40	45	37	32	39	39	10	31	39	16	8	37	33	4	36	35	11	29	7	47	38	42	28	15	48	53	14	66	33	31	41	40	42	38	30	26	35	28	16	6	17	28	18	40	30	29	18	27	22	42	28	10	3	5	14	
686	658	808	791	421	1060	501	704	1181	317	571	918	569	420	617	812	653	543	176	605	609	786	769	545	571	536	786	548	771	542	894	1043	415	769	659	748	325	989	885	159	484	414	251	98	708	637	86	746	664	514	708	327	983	666	901	472	346	772	1219	430	478	598	541	916	723	604	705	482	706	600	458	347	97	369	463	258	637	728	735	693	658	549	772	1093	255	116	305	281	
1	28	4	6	13	1	6	4	5	1	8	5	4	4	7	1	5	2	4	8	6	1	4	6	6	2	11	7	6	2	9	13	5	3	6	4	5	5	3	0	0	4	1	0	5	4	2	7	1	1	3	0	3	7	3	3	0	3	6	1	1	2	2	5	2	3	21	3	4	8	3	1	0	1	1	0	4	2	1	0	3	3	4	1	1	0	2	0	
2	6	2	8	2	0	2	5	13	2	8	3	2	3	2	3	7	8	1	5	5	4	8	4	8	11	8	6	14	2	13	9	2	3	8	1	4	2	5	2	2	3	1	0	2	3	0	6	9	3	4	1	9	0	1	0	0	5	8	2	1	3	5	8	7	7	9	1	5	5	2	0	0	1	2	0	1	3	4	2	5	2	2	1	0	0	2	4	
2	3	5	3	6	2	5	4	10	0	0	6	7	1	6	6	2	1	0	5	5	4	9	4	7	2	8	5	7	5	8	8	3	3	1	1	1	2	3	2	0	1	2	1	2	1	1	2	2	1	0	1	3	2	3	1	2	8	0	8	3	4	3	4	2	2	7	0	5	4	0	1	0	0	2	0	1	0	0	0	1	1	0	2	0	0	2	2	
3	7	9	4	4	1	7	4	2	1	4	4	0	2	3	1	2	3	1	7	4	4	12	3	5	1	2	3	2	2	7	11	3	5	1	1	0	0	1	0	1	2	0	0	0	2	0	1	3	1	0	0	1	1	0	1	0	1	1	0	2	1	1	2	2	5	8	0	2	1	0	0	0	1	0	0	1	0	0	1	0	1	3	2	0	0	1	0	
